,2
1,2
21,2
11,6
214,2
211,2
111,24
3215,2
2215,2
2211,8
2141,2
2111,6
1111,120
32156,2
32155,2
32151,1
22216,6
22155,8
22151,2
22111,12
21416,6
21411,4
21111,24
11111,720
432167,2
332167,2
332166,8
322167,1
322166,2
322161,2
321651,2
321555,6
321551,2
321517,2
321511,2
222217,24
222166,12
222161,6
222111,72
221551,8
221517,4
221511,4
221111,48
214161,6
214111,12
211111,120
111111,5040
4321678,2
4321677,2
4321676,1
4321761,1
3332178,6
3322178,2
3321677,8
3321676,2
3321761,2
3321666,12
3321661,4
3321618,4
3321611,4
3252178,2
3222178,2
3221676,2
3221761,1
3221666,6
3221661,2
3221618,2
3221611,2
3216518,2
3216511,4
3215555,24
3215551,6
3215518,2
3215511,4
3215171,2
3215111,6
2222218,120
2222177,48
2222171,24
2221666,72
2221661,12
2221618,12
2221611,12
2221111,144
2215518,8
2215511,16
2215171,4
2215111,12
2211111,240
2141618,24
2141611,12
2141111,48
2111111,720
1111111,40320
54321789,2
44321789,2
44321788,8
43321789,1
43321788,2
43321787,2
43221789,1
43221788,2
43221787,1
43221871,2
43218761,2
43216777,6
43216776,2
43217761,2
43216769,2
43216766,2
43217661,1
43217619,1
43217611,2
33332189,24
33322189,6
33321788,12
33321787,6
33321871,6
33321777,72
33262189,2
33222189,4
33221788,4
33221787,2
33221871,2
33221777,12
33221771,8
33217761,8
33216769,4
33216766,4
33217661,2
33217619,2
33217611,4
33216666,48
33216661,12
33216619,4
33216611,8
33216181,4
33216111,12
32522189,2
32521787,2
32521871,2
32521777,12
32521771,4
32521719,8
32222189,6
32221787,2
32221871,2
32221777,12
32221771,4
32221719,4
32221711,8
32217661,2
32217619,1
32217611,2
32216666,24
32216661,6
32216619,2
32216611,4
32216181,2
32216111,6
32165189,6
32165188,4
32165181,2
32165111,12
32155555,120
32155551,24
32155519,6
32155511,12
32155188,8
32155181,2
32155111,12
32151719,6
32151711,4
32151111,24
22222219,720
22222188,240
22222181,120
22221777,144
22221771,48
22221719,48
22221711,48
22221111,1152
22216661,72
22216619,12
22216611,24
22216181,12
22216111,36
22211111,720
22155188,48
22155181,8
22155111,48
22151719,12
22151711,8
22151111,48
22111111,1440
21416181,24
21416111,36
21411111,240
21111111,5040
11111111,362880
STOP
